"prodcode","CodingSystem","productname","gemscriptcode"
"8","prodcode","Salbutamol 100micrograms/dose inhaler","59553020"
"17","prodcode","Salbutamol 100micrograms/dose inhaler CFC free","59554020"
"31","prodcode","Ventolin 100microgram/inhalation Inhalation powder (Glaxo Wellcome UK Ltd)","52213020"
"38","prodcode","Beclometasone 100micrograms/dose inhaler","69246020"
"99","prodcode","Becotide 100 inhaler (GlaxoSmithKline UK Ltd)","57212020"
"218","prodcode","AMINOPHYLLINE 100 MG CAP","03059007"
"235","prodcode","Bricanyl 250micrograms/dose inhaler (AstraZeneca UK Ltd)","48447020"
"273","prodcode","THEOPHYLLINE 200 MG CAP","03509007"
"282","prodcode","Salbutamol 2mg/5ml oral solution sugar free","66548020"
"314","prodcode","Intal 5mg/dose inhaler (Aventis Pharma)","55096020"
"454","prodcode","Pulmicort 200microgram Inhaler (AstraZeneca UK Ltd)","53685020"
"465","prodcode","Salmeterol 25micrograms/dose inhaler","74013020"
"510","prodcode","Ventolin 5mg/ml respirator solution (GlaxoSmithKline UK Ltd)","52229020"
"534","prodcode","Atrovent 20micrograms/dose inhaler (Boehringer Ingelheim Ltd)","48252020"
"549","prodcode","Serevent 25micrograms/dose inhaler (GlaxoSmithKline UK Ltd)","74018020"
"555","prodcode","Aminophylline 225mg modified-release tablets","67439020"
"556","prodcode","Combivent inhaler (Boehringer Ingelheim Ltd)","75509020"
"590","prodcode","Phyllocontin Continus 225mg tablets (Napp Pharmaceuticals Ltd)","55544020"
"638","prodcode","Seretide 250 Accuhaler (GlaxoSmithKline UK Ltd)","79544020"
"665","prodcode","Seretide 100 Accuhaler (GlaxoSmithKline UK Ltd)","85668020"
"674","prodcode","Ventolin 2.5mg Nebules (GlaxoSmithKline UK Ltd)","52234020"
"696","prodcode","Salbutamol 8mg modified-release capsules","53724020"
"719","prodcode","Salmeterol 50micrograms/dose dry powder inhaler","74015020"
"746","prodcode","Tiotropium 18 microgram Capsule","73050020"
"856","prodcode","Ventolin 2mg/5ml syrup (GlaxoSmithKline UK Ltd)","52204020"
"862","prodcode","Salbulin Inhalation powder (3M Health Care Ltd)","52877020"
"863","prodcode","Slo-phyllin 125mg Capsule (Lipha Pharmaceuticals Ltd)","51577020"
"879","prodcode","Theophylline 125mg modified-release capsules","66995020"
"880","prodcode","Theophylline 60mg modified-release capsules","66994020"
"881","prodcode","Salbutamol 2mg tablets","59379020"
"882","prodcode","Salbutamol 200microgram inhalation powder capsules","67866020"
"883","prodcode","Becodisks 200microgram Disc (Allen & Hanburys Ltd)","68210020"
"895","prodcode","Beclazone 100 Easi-Breathe inhaler (Teva UK Ltd)","79401020"
"896","prodcode","Becotide easi-breathe 100microgram/actuation Pressurised inhalation (Allen & Hanburys Ltd)","84968020"
"898","prodcode","Ventolin evohaler 100 100microgram/inhalation Pressurised inhalation (Glaxo Wellcome UK Ltd)","52215020"
"907","prodcode","Bricanyl turbohaler 500 500microgram Turbohaler (AstraZeneca UK Ltd)","48448020"
"908","prodcode","Pulmicort 400 Turbohaler (AstraZeneca UK Ltd)","73579020"
"909","prodcode","Budesonide 200micrograms/dose inhaler","64256020"
"910","prodcode","Serevent diskhaler 50microgram Inhalation powder (Glaxo Wellcome UK Ltd)","74019020"
"911","prodcode","Flixotide accuhaler 250 250microgram/inhalation Inhalation powder (Allen & Hanburys Ltd)","79577020"
"942","prodcode","Aerolin 100micrograms/dose Autohaler (3M Health Care Ltd)","68159020"
"947","prodcode","Budesonide 50micrograms/actuation refill canister","73585020"
"956","prodcode","Pulmicort 200 Turbohaler (AstraZeneca UK Ltd)","73578020"
"957","prodcode","Salamol easi-breathe 100microgram/actuation Pressurised inhalation (IVAX Pharmaceuticals UK Ltd)","79689020"
"958","prodcode","Ventolin easi-breathe 100microgram/actuation Pressurised inhalation (Allen & Hanburys Ltd)","84965020"
"959","prodcode","Budesonide 50micrograms/dose inhaler","64257020"
"960","prodcode","Pulmicort 100 Turbohaler (AstraZeneca UK Ltd)","73580020"
"964","prodcode","Sodium cromoglicate 5mg/dose inhaler","61061020"
"987","prodcode","Ventolin 4mg Tablet (Allen & Hanburys Ltd)","52203020"
"1087","prodcode","Asmasal 95micrograms/dose Clickhaler (Focus Pharmaceuticals Ltd)","86061020"
"1093","prodcode","Salamol 100microgram/actuation Inhalation powder (IVAX Pharmaceuticals UK Ltd)","52885020"
"1097","prodcode","Slo-phyllin 60mg Capsule (Lipha Pharmaceuticals Ltd)","51576020"
"1100","prodcode","Beclazone 100 inhaler (Teva UK Ltd)","56476020"
"1236","prodcode","Becloforte 250micrograms/dose inhaler (GlaxoSmithKline UK Ltd)","48309020"
"1242","prodcode","Beclometasone 250micrograms/dose inhaler","69244020"
"1243","prodcode","Beclazone 250 Easi-Breathe inhaler (Teva UK Ltd)","79402020"
"1258","prodcode","Becotide 200 inhaler (GlaxoSmithKline UK Ltd)","67266020"
"1259","prodcode","Beclometasone 200micrograms/dose inhaler","69255020"
"1269","prodcode","Becotide 50microgram/ml Nebuliser liquid (Allen & Hanburys Ltd)","53718020"
"1346","prodcode","Salbutamol 0.05mg/ml injection","69341020"
"1406","prodcode","Becotide 50 inhaler (GlaxoSmithKline UK Ltd)","48324020"
"1409","prodcode","Ipratropium bromide 20micrograms/dose inhaler","63608020"
"1410","prodcode","Ipratropium bromide 0.25mg/ml","63615020"
"1411","prodcode","Ipratropium bromide 250micrograms/ml","63616020"
"1412","prodcode","Flixotide 250microgram/actuation Inhalation powder (Allen & Hanburys Ltd)","75190020"
"1414","prodcode","Salamol 5mg/2.5ml nebuliser liquid Steri-Neb unit dose vials (Teva UK Ltd)","56866020"
"1415","prodcode","Steri-neb ipratropium 250microgram/ml Nebuliser liquid (IVAX Pharmaceuticals UK Ltd)","75830020"
"1422","prodcode","Cromogen 5mg/dose inhaler (Teva UK Ltd)","56860020"
"1423","prodcode","Uniphyllin Continus 200mg tablets (Napp Pharmaceuticals Ltd)","52100020"
"1424","prodcode","Flixotide 250microgram Disc (Allen & Hanburys Ltd)","74455020"
