reps,fold,brier,slope,auc,model,Model
1,1,0.140230673,0.998242944,0.791870107,1,Original
1,2,0.139393302,0.993759604,0.796430566,1,Original
1,3,0.138864793,0.996967174,0.795123032,1,Original
1,4,0.133519712,1.042335864,0.801341967,1,Original
1,5,0.131145371,1.043557429,0.799633491,1,Original
1,6,0.14384393,1.003084236,0.790618867,1,Original
1,7,0.147461644,0.951649245,0.78699795,1,Original
1,8,0.143385703,0.957369782,0.78340753,1,Original
1,9,0.135461186,1.048428294,0.802568655,1,Original
1,10,0.148313921,0.920908441,0.77978684,1,Original
2,1,0.143592087,1.018942709,0.798563598,1,Original
2,2,0.138419607,0.957165175,0.783729022,1,Original
2,3,0.138758729,1.032289676,0.801936929,1,Original
2,4,0.142904013,0.948838539,0.780534383,1,Original
2,5,0.142440396,1.067017235,0.800522545,1,Original
2,6,0.133847884,1.000181848,0.795070493,1,Original
2,7,0.139778711,0.973262219,0.794197433,1,Original
2,8,0.141283743,0.9899224,0.790272224,1,Original
2,9,0.141340262,0.978225286,0.789262518,1,Original
2,10,0.142761279,0.976634549,0.789458893,1,Original
3,1,0.138249275,1.011078833,0.800020617,1,Original
3,2,0.142054005,0.92929189,0.777299862,1,Original
3,3,0.14044638,1.046479368,0.797172793,1,Original
3,4,0.141138754,0.965219051,0.7883902,1,Original
3,5,0.146690945,0.986335158,0.789743136,1,Original
3,6,0.144871763,0.939330819,0.782343206,1,Original
3,7,0.129599718,1.040231652,0.810348403,1,Original
3,8,0.133217832,1.072105116,0.80381455,1,Original
3,9,0.145100156,1.015327658,0.798276434,1,Original
3,10,0.146328472,0.950699226,0.780170788,1,Original
4,1,0.145176132,0.954651867,0.784102334,1,Original
4,2,0.139097926,0.991551579,0.787619793,1,Original
4,3,0.13501765,1.016207335,0.802055949,1,Original
4,4,0.132593823,0.967614249,0.786978507,1,Original
4,5,0.138998423,0.986495654,0.794648351,1,Original
4,6,0.140064127,0.988580399,0.79146086,1,Original
4,7,0.144251625,0.995731828,0.792806592,1,Original
4,8,0.146608073,1.010897589,0.789841447,1,Original
4,9,0.142735714,1.009848256,0.795497011,1,Original
4,10,0.139854077,1.016224367,0.797969582,1,Original
5,1,0.132540688,1.063195209,0.804174121,1,Original
5,2,0.138098036,1.038628286,0.800067464,1,Original
5,3,0.143702479,1.001312658,0.795978697,1,Original
5,4,0.139264839,1.015612122,0.795653091,1,Original
5,5,0.146507288,0.939603313,0.77767752,1,Original
5,6,0.138147276,0.970246756,0.790293223,1,Original
5,7,0.147880813,0.962988339,0.78429113,1,Original
5,8,0.133271934,1.019081745,0.804122293,1,Original
5,9,0.146931696,0.91556436,0.778917784,1,Original
5,10,0.142250582,0.993238479,0.788646942,1,Original
1,1,0.140230062,0.998246177,0.791864036,2,#NAME?
1,2,0.139430959,0.993064656,0.796322187,2,#NAME?
1,3,0.138882655,0.996568948,0.794991818,2,#NAME?
1,4,0.13352816,1.042141505,0.801298466,2,#NAME?
1,5,0.131145947,1.043501399,0.799638673,2,#NAME?
1,6,0.143845491,1.002939382,0.79061325,2,#NAME?
1,7,0.147469357,0.951539273,0.786977689,2,#NAME?
1,8,0.14339051,0.957262112,0.783394405,2,#NAME?
1,9,0.135467245,1.047950216,0.802523983,2,#NAME?
1,10,0.14832622,0.920788708,0.779775846,2,#NAME?
2,1,0.143633276,1.018010846,0.798402801,2,#NAME?
2,2,0.138423171,0.95714751,0.783691655,2,#NAME?
2,3,0.138760182,1.032181423,0.801926621,2,#NAME?
2,4,0.142903946,0.948834126,0.780532421,2,#NAME?
2,5,0.142440143,1.067018326,0.800527251,2,#NAME?
2,6,0.133849054,1.000158362,0.795038589,2,#NAME?
2,7,0.139797208,0.973007653,0.794170478,2,#NAME?
2,8,0.141285441,0.989904052,0.790264957,2,#NAME?
2,9,0.141341171,0.978216647,0.789263788,2,#NAME?
2,10,0.142760052,0.976534939,0.789423265,2,#NAME?
3,1,0.138252991,1.010968752,0.800005371,2,#NAME?
3,2,0.142054072,0.9292924,0.77730108,2,#NAME?
3,3,0.140446791,1.046467547,0.797164162,2,#NAME?
3,4,0.141146359,0.965183365,0.788330246,2,#NAME?
3,5,0.146690722,0.986346834,0.789755312,2,#NAME?
3,6,0.14487112,0.939349976,0.782336054,2,#NAME?
3,7,0.129611876,1.03992329,0.810289174,2,#NAME?
3,8,0.133220735,1.071847753,0.803768595,2,#NAME?
3,9,0.145100126,1.015204685,0.798264054,2,#NAME?
3,10,0.146339904,0.9505017,0.780137881,2,#NAME?
4,1,0.145177013,0.954551669,0.784074442,2,#NAME?
4,2,0.139096923,0.991532191,0.787615893,2,#NAME?
4,3,0.135039882,1.015796164,0.801980347,2,#NAME?
4,4,0.132604202,0.967472866,0.786881819,2,#NAME?
4,5,0.138997124,0.98650583,0.79465073,2,#NAME?
4,6,0.140078772,0.988353606,0.791406887,2,#NAME?
