"","Probability_cutoff","Proportion","Measure"
"2",0.9904410880474,0,"PPV"
"124",0.862557576377621,0.861788617886179,"PPV"
"245",0.811409531644238,0.852459016393443,"PPV"
"367",0.775285905460932,0.816939890710383,"PPV"
"488",0.730394738858388,0.788501026694045,"PPV"
"610",0.696849317202796,0.77175697865353,"PPV"
"731",0.669826723710835,0.757534246575343,"PPV"
"853",0.64428420230018,0.734741784037559,"PPV"
"974",0.621257978441424,0.71634121274409,"PPV"
"1096",0.593826346659547,0.695890410958904,"PPV"
"1217",0.5698099372985,0.682565789473684,"PPV"
"1339",0.549281520396134,0.66965620328849,"PPV"
"1460",0.530997457778391,0.662782727895819,"PPV"
"1582",0.512659662719439,0.647058823529412,"PPV"
"1704",0.492370912036578,0.639671361502347,"PPV"
"1825",0.473260509268487,0.632328767123288,"PPV"
"1947",0.455228931425688,0.623523369286081,"PPV"
"2068",0.439698037178501,0.605899419729207,"PPV"
"2190",0.424139064592072,0.595890410958904,"PPV"
"2311",0.410713660365671,0.586758978797058,"PPV"
"2433",0.397619670436324,0.573777229757501,"PPV"
"2554",0.385351453795378,0.570477682067345,"PPV"
"2676",0.373880951638292,0.562406576980568,"PPV"
"2797",0.36351074083836,0.555237754737218,"PPV"
"2919",0.353166992062652,0.546077423775265,"PPV"
"3040",0.341338862873037,0.541118421052632,"PPV"
"3162",0.331113939796248,0.533206831119545,"PPV"
"3284",0.321611452855328,0.525274056029233,"PPV"
"3405",0.31251655510179,0.518355359765051,"PPV"
"3527",0.302745867715895,0.511766373688687,"PPV"
"3648",0.293329108160799,0.506030701754386,"PPV"
"3770",0.285489770029057,0.50053050397878,"PPV"
"3891",0.277048612471125,0.492161398098175,"PPV"
"4013",0.269140168401486,0.485173187141789,"PPV"
"4134",0.261725314485042,0.478471214320271,"PPV"
"4256",0.254183172245341,0.47062969924812,"PPV"
"4377",0.247162249195262,0.462874114690427,"PPV"
"4499",0.239680611551231,0.454767726161369,"PPV"
"4620",0.232166729487242,0.447402597402597,"PPV"
"4742",0.226249876266755,0.44327288064108,"PPV"
"4864",0.219451044644869,0.437294407894737,"PPV"
"4985",0.21275430176902,0.432497492477432,"PPV"
"5107",0.207165902866224,0.426669277462307,"PPV"
"5228",0.201844796067391,0.420237184391737,"PPV"
"5350",0.196616267819397,0.413831775700935,"PPV"
"5471",0.191430490699647,0.409248766221897,"PPV"
"5593",0.186789807358397,0.405506883604506,"PPV"
"5714",0.181921934491927,0.400070003500175,"PPV"
"5836",0.177699422023729,0.394962302947224,"PPV"
"5957",0.172571363244054,0.391070829137294,"PPV"
"6079",0.167866433521949,0.387664473684211,"PPV"
"6200",0.163576205460862,0.3828414771811,"PPV"
"6322",0.159364276947643,0.378459591965839,"PPV"
"6443",0.154628390709474,0.374767225325885,"PPV"
"6565",0.150253488457781,0.369479134937557,"PPV"
"6687",0.146373718199506,0.365879186602871,"PPV"
"6808",0.143145714303746,0.362755176971655,"PPV"
"6930",0.13948629276852,0.3591112393594,"PPV"
"7051",0.135117541792241,0.355168013611229,"PPV"
"7173",0.130503280323749,0.351080139372822,"PPV"
"7294",0.127354708704759,0.346628289473684,"PPV"
"7416",0.123776560926953,0.342275545969264,"PPV"
"7537",0.120148877252371,0.338904363974002,"PPV"
"7659",0.117306777563468,0.335595875212113,"PPV"
"7780",0.11382538246863,0.332562323310203,"PPV"
"7902",0.110678464452317,0.330086032388664,"PPV"
"8023",0.107594191285458,0.326604361370717,"PPV"
"8145",0.104877481708389,0.322818215293973,"PPV"
"8267",0.102261698712974,0.320111258918854,"PPV"
"8388",0.0994183253332205,0.31668653158522,"PPV"
"8510",0.0963114127867041,0.313087406015038,"PPV"
"8631",0.0932093075297437,0.310205027221128,"PPV"
"8753",0.0907789035955229,0.307252998286693,"PPV"
"8874",0.088296689649391,0.304303740423614,"PPV"
"8996",0.0853854793159992,0.301289175372305,"PPV"
"9117",0.0828659629480665,0.298607303432394,"PPV"
"9239",0.0801856017333256,0.295530786711395,"PPV"
"9360",0.0774086943364523,0.292672505874813,"PPV"
"9482",0.0746301381413392,0.290067482075074,"PPV"
"9603",0.0724627832831065,0.287038001041124,"PPV"
"9725",0.070217681732291,0.284157499742983,"PPV"
"9847",0.0677098246714914,0.281043760787897,"PPV"
"9968",0.0654994600119863,0.278836509528586,"PPV"
"10090",0.0630038824527573,0.276456599286564,"PPV"
"10211",0.0605994383397628,0.273964554978948,"PPV"
"10333",0.0580133162461337,0.271698113207547,"PPV"
"10454",0.0557587182344974,0.269127773527161,"PPV"
"10576",0.0536244366205395,0.266496502174324,"PPV"
"10697",0.051452478955655,0.263856435180858,"PPV"
"10819",0.048950523816471,0.261528509379909,"PPV"
"10940",0.0467094609945694,0.25891061963078,"PPV"
"11062",0.0442093442259353,0.256688358640636,"PPV"
"11183",0.0416673324728029,0.254358515869468,"PPV"
"11305",0.0390125734882102,0.251614044397276,"PPV"
"11427",0.0364273696999563,0.24936564878817,"PPV"
"11548",0.0337790810043689,0.246753246753247,"PPV"
"11670",0.0312076613510859,0.244259766963674,"PPV"
"11791",0.0276092900172096,0.241923174764691,"PPV"
"11913",0.0232136525251569,0.239530004196391,"PPV"
"12034",0.0171767175595133,0.23728813559322,"PPV"
"12156",0.897823081348726,0.767095970087246,"NPV"
"12277",0.838047895282683,0.773040120866208,"NPV"
