Probability_cutoff,Proportion,Measure
0.988668951,0,PPV
0.866483956,0.853658537,PPV
0.817040527,0.856557377,PPV
0.775008669,0.822404372,PPV
0.738334422,0.796714579,PPV
0.702835457,0.776683087,PPV
0.673235374,0.764383562,PPV
0.646919299,0.746478873,PPV
0.618945257,0.728674203,PPV
0.59568441,0.707762557,PPV
0.574026281,0.695152013,PPV
0.550543383,0.679372197,PPV
0.528153143,0.664383562,PPV
0.512042854,0.649588868,PPV
0.496847435,0.638285379,PPV
0.478266821,0.630482456,PPV
0.460272818,0.625899281,PPV
0.442820313,0.613449444,PPV
0.426458365,0.602558246,PPV
0.411832833,0.594980528,PPV
0.399356252,0.581414474,PPV
0.385248357,0.574001566,PPV
0.372590347,0.565607477,PPV
0.361573379,0.559528066,PPV
0.350409079,0.551405072,PPV
0.338542226,0.545723684,PPV
0.328718018,0.538899431,PPV
0.31873081,0.532135242,PPV
0.306873594,0.523641703,PPV
0.297049983,0.518150879,PPV
0.288594727,0.509868421,PPV
0.28037681,0.502785885,PPV
0.271423196,0.493703418,PPV
0.263712518,0.488285145,PPV
0.255370287,0.480648283,PPV
0.248711402,0.472744361,PPV
0.241732759,0.466301119,PPV
0.23472001,0.459879973,PPV
0.228010968,0.454545455,PPV
0.221544148,0.447701392,PPV
0.216034488,0.441908287,PPV
0.210115825,0.435907723,PPV
0.205047663,0.429298864,PPV
0.1985675,0.423488906,PPV
0.193135047,0.418317757,PPV
0.187900485,0.413452751,PPV
0.182930875,0.409082782,PPV
0.178595057,0.403920196,PPV
0.174543143,0.398732008,PPV
0.169892428,0.392983045,PPV
0.1654853,0.388057246,PPV
0.160652797,0.383387097,PPV
0.156672767,0.379152167,PPV
0.15230019,0.376319056,PPV
0.147836472,0.371820259,PPV
0.143408863,0.367877972,PPV
0.139094349,0.364277321,PPV
0.135193711,0.36031746,PPV
0.131527714,0.355977875,PPV
0.127867233,0.352432734,PPV
0.124071973,0.348368522,PPV
0.120926975,0.344795038,PPV
0.117811512,0.340541258,PPV
0.114064011,0.337511424,PPV
0.110710064,0.333761727,PPV
0.107594242,0.330043027,PPV
0.104268837,0.327268195,PPV
0.101409304,0.323634131,PPV
0.098920346,0.320914479,PPV
0.095619373,0.317715784,PPV
0.092888326,0.314336075,PPV
0.090142466,0.3110519,PPV
0.087649654,0.308008683,PPV
0.085053413,0.305352113,PPV
0.082690006,0.302356603,PPV
0.080100242,0.299407765,PPV
0.0777073,0.296352419,PPV
0.074387249,0.293344728,PPV
0.071772535,0.290203522,PPV
0.069354892,0.287796751,PPV
0.066972797,0.285009254,PPV
0.064431509,0.282014827,PPV
0.061997011,0.278964791,PPV
0.059737954,0.276412289,PPV
0.057453038,0.273991383,PPV
0.055520773,0.271363592,PPV
0.05272941,0.269440459,PPV
0.050283495,0.266805332,PPV
0.048143124,0.264161526,PPV
0.04634522,0.261922366,PPV
0.043864346,0.259208482,PPV
0.041413691,0.256801952,PPV
0.0390265,0.254113019,PPV
0.036274719,0.251724748,PPV
0.033828123,0.24923427,PPV
0.031259475,0.2468612,PPV
0.028525011,0.244366378,PPV
