Model_number,reps,fold,brier,slope,auc,Variables,Penalty,Model,Approach
1,1,1,0.146690655,1.041714851,0.768813234,B,,Cox,Cox
1,1,2,0.146792814,1.013765663,0.769130032,B,,Cox,Cox
1,1,3,0.142327035,1.114972499,0.784585583,B,,Cox,Cox
1,1,4,0.140974572,1.031299217,0.772951932,B,,Cox,Cox
1,1,5,0.136865951,1.0334784,0.773870705,B,,Cox,Cox
1,1,6,0.151681222,1.026161004,0.770869299,B,,Cox,Cox
1,1,7,0.154676284,0.959188924,0.764197178,B,,Cox,Cox
1,1,8,0.151122751,0.959485128,0.759083346,B,,Cox,Cox
1,1,9,0.144532796,1.052230586,0.778318235,B,,Cox,Cox
1,1,10,0.155558224,0.957768579,0.758888601,B,,Cox,Cox
1,2,1,0.151142593,1.035737846,0.776955078,B,,Cox,Cox
1,2,2,0.144961204,0.962583667,0.756834779,B,,Cox,Cox
1,2,3,0.147401905,1.039569501,0.779156648,B,,Cox,Cox
1,2,4,0.148970085,0.973410629,0.760227033,B,,Cox,Cox
1,2,5,0.149871456,1.098648305,0.783302716,B,,Cox,Cox
1,2,6,0.141007549,1.049345682,0.773035431,B,,Cox,Cox
1,2,7,0.146962338,1.004840615,0.770677471,B,,Cox,Cox
1,2,8,0.145619532,1.052069228,0.770671833,B,,Cox,Cox
1,2,9,0.148454396,0.976113402,0.763856413,B,,Cox,Cox
1,2,10,0.151139997,0.966725347,0.759485326,B,,Cox,Cox
1,3,1,0.14378821,1.03244276,0.775617126,B,,Cox,Cox
1,3,2,0.149444368,0.942183567,0.754411646,B,,Cox,Cox
1,3,3,0.151262392,1.03165751,0.767830695,B,,Cox,Cox
1,3,4,0.14916949,0.958895065,0.758597631,B,,Cox,Cox
1,3,5,0.153191835,1.026971015,0.772062312,B,,Cox,Cox
1,3,6,0.149947117,0.990338187,0.764552285,B,,Cox,Cox
1,3,7,0.133097651,1.087728679,0.787267042,B,,Cox,Cox
1,3,8,0.138813883,1.092483695,0.783346512,B,,Cox,Cox
1,3,9,0.153580299,1.05637513,0.779756313,B,,Cox,Cox
1,3,10,0.155356308,0.955956392,0.756216772,B,,Cox,Cox
1,4,1,0.149928449,0.999584418,0.766613925,B,,Cox,Cox
1,4,2,0.144873842,1.01363126,0.768550791,B,,Cox,Cox
1,4,3,0.143114177,1.048700755,0.775465606,B,,Cox,Cox
