reps,fold,brier,slope,auc,model,Model
1,1,0.138356033,1.000378699,0.798213904,1,36 variable model
1,2,0.138868209,0.966050912,0.800562818,1,36 variable model
1,3,0.137000789,0.996698225,0.801847362,1,36 variable model
1,4,0.132733724,1.023167627,0.807103946,1,36 variable model
1,5,0.129102574,1.060882882,0.807536723,1,36 variable model
1,6,0.142246913,1.008431709,0.799300442,1,36 variable model
1,7,0.14550546,0.961253292,0.793048874,1,36 variable model
1,8,0.141651989,0.968638397,0.790495817,1,36 variable model
1,9,0.134264712,1.042754359,0.806777465,1,36 variable model
1,10,0.14757315,0.916331296,0.786598512,1,36 variable model
2,1,0.142067839,1.01695158,0.804182347,1,36 variable model
2,2,0.137449535,0.951186485,0.7890013,1,36 variable model
2,3,0.137439499,1.039316294,0.8078946,1,36 variable model
2,4,0.141244876,0.953187173,0.789349965,1,36 variable model
2,5,0.140905594,1.05032903,0.805852738,1,36 variable model
2,6,0.132696446,1.004548867,0.802607675,1,36 variable model
2,7,0.138114445,0.978122376,0.799805274,1,36 variable model
2,8,0.140592386,0.962859247,0.795939616,1,36 variable model
2,9,0.139172882,1.003984834,0.795756005,1,36 variable model
2,10,0.141152576,0.970351203,0.795789069,1,36 variable model
3,1,0.136726893,0.993194361,0.805511338,1,36 variable model
3,2,0.140344493,0.950930793,0.785954535,1,36 variable model
3,3,0.139833868,1.030088796,0.800330405,1,36 variable model
3,4,0.139946566,0.979936768,0.792510579,1,36 variable model
3,5,0.144931187,0.975810771,0.79646315,1,36 variable model
3,6,0.143338575,0.937033761,0.78938083,1,36 variable model
3,7,0.128331334,1.019624376,0.815582703,1,36 variable model
3,8,0.131206946,1.085034452,0.812038945,1,36 variable model
3,9,0.143467281,1.016968319,0.805453451,1,36 variable model
3,10,0.145278147,0.949331298,0.786211609,1,36 variable model
4,1,0.143180625,0.953906328,0.792031706,1,36 variable model
4,2,0.136686207,1.008435821,0.796639788,1,36 variable model
4,3,0.133216734,1.03084213,0.809605461,1,36 variable model
4,4,0.131845082,0.954302041,0.791695366,1,36 variable model
4,5,0.137955075,0.993456421,0.800318616,1,36 variable model
4,6,0.139031682,0.979875553,0.797590502,1,36 variable model
4,7,0.143753399,0.991912729,0.797765888,1,36 variable model
4,8,0.145947797,0.981676249,0.794690973,1,36 variable model
4,9,0.14060917,1.005062223,0.802251457,1,36 variable model
4,10,0.13817505,1.024168029,0.803412869,1,36 variable model
5,1,0.130727206,1.067090227,0.812128525,1,36 variable model
5,2,0.136192865,1.041620162,0.807615444,1,36 variable model
5,3,0.142271733,0.991976186,0.801521108,1,36 variable model
5,4,0.13824935,1.005466509,0.801475106,1,36 variable model
5,5,0.144380621,0.948371522,0.785201861,1,36 variable model
5,6,0.136938237,0.985348562,0.796242452,1,36 variable model
5,7,0.146790285,0.956787073,0.790161629,1,36 variable model
5,8,0.132080975,0.997948546,0.808086257,1,36 variable model
5,9,0.145739066,0.929801395,0.785258792,1,36 variable model
5,10,0.141032961,0.977810063,0.794232624,1,36 variable model
1,1,0.144848936,1.017777117,0.773296535,12,Basic - IMD (B-I)
1,2,0.145175154,0.984065881,0.773290885,12,Basic - IMD (B-I)
1,3,0.140567402,1.076130371,0.788679039,12,Basic - IMD (B-I)
1,4,0.140013324,1.013855417,0.778598732,12,Basic - IMD (B-I)
1,5,0.135263709,1.057362552,0.780292933,12,Basic - IMD (B-I)
1,6,0.148170734,1.018798884,0.780212629,12,Basic - IMD (B-I)
1,7,0.151861358,0.955388824,0.769154414,12,Basic - IMD (B-I)
1,8,0.149627076,0.940354962,0.762300907,12,Basic - IMD (B-I)
1,9,0.142584287,1.025470116,0.781356852,12,Basic - IMD (B-I)
1,10,0.152961712,0.934734293,0.763741205,12,Basic - IMD (B-I)
2,1,0.14793306,1.022917422,0.78184423,12,Basic - IMD (B-I)
2,2,0.144062822,0.945110544,0.761564942,12,Basic - IMD (B-I)
2,3,0.144864345,1.028868369,0.782527811,12,Basic - IMD (B-I)
2,4,0.146979018,0.967487278,0.766667706,12,Basic - IMD (B-I)
2,5,0.147331871,1.064074903,0.78735539,12,Basic - IMD (B-I)
2,6,0.139894058,1.015153766,0.777454059,12,Basic - IMD (B-I)
2,7,0.144809747,0.992525225,0.774183619,12,Basic - IMD (B-I)
2,8,0.144602986,1.018546505,0.775640039,12,Basic - IMD (B-I)
2,9,0.146025477,0.988759417,0.771147591,12,Basic - IMD (B-I)
2,10,0.14870177,0.95018164,0.765681835,12,Basic - IMD (B-I)
3,1,0.14254698,1.004756077,0.781508579,12,Basic - IMD (B-I)
3,2,0.14686131,0.951261645,0.760804182,12,Basic - IMD (B-I)
3,3,0.148736455,1.012727957,0.769462779,12,Basic - IMD (B-I)
3,4,0.148113963,0.943598879,0.759124059,12,Basic - IMD (B-I)
